Jurisdiction,Month,Year,Number_fires
Prince Edward Island,June,1996,0.0
Prince Edward Island,July,1996,0.0
Prince Edward Island,August,1996,0.0
Prince Edward Island,September,1996,0.0
Prince Edward Island,October,1996,0.0
Prince Edward Island,November,1996,0.0
Prince Edward Island,December,1996,0.0
Quebec,February,1996,
Quebec,March,1996,
Quebec,April,1996,5.0
Quebec,May,1996,163.0
Quebec,June,1996,706.0
Quebec,July,1996,55.0
Quebec,August,1996,209.0
Quebec,September,1996,92.0
Quebec,October,1996,19.0
Quebec,November,1996,1.0
Quebec,December,1996,
Saskatchewan,January,1996,1.0
Saskatchewan,February,1996,1.0
Saskatchewan,March,1996,
Saskatchewan,April,1996,6.0
Saskatchewan,May,1996,62.0
Saskatchewan,June,1996,123.0
Saskatchewan,July,1996,161.0
Saskatchewan,August,1996,53.0
Saskatchewan,September,1996,15.0
Saskatchewan,October,1996,3.0
Saskatchewan,November,1996,
Saskatchewan,December,1996,
Yukon,January,1996,
Yukon,March,1996,2.0
Yukon,April,1996,2.0
Yukon,May,1996,19.0
Yukon,June,1996,72.0
Yukon,July,1996,44.0
Yukon,August,1996,7.0
Yukon,September,1996,3.0
Yukon,October,1996,
Yukon,November,1996,
Yukon,December,1996,
Alberta,January,1997,1.0
Alberta,February,1997,
Alberta,March,1997,4.0
Alberta,April,1997,24.0
Alberta,May,1997,120.0
Alberta,June,1997,34.0
Alberta,July,1997,148.0
Alberta,August,1997,79.0
Alberta,September,1997,17.0
Alberta,October,1997,3.0
Alberta,November,1997,1.0
Alberta,December,1997,32.0
British Columbia,January,1997,
British Columbia,February,1997,2.0
British Columbia,March,1997,6.0
British Columbia,April,1997,86.0
British Columbia,May,1997,131.0
British Columbia,June,1997,95.0
British Columbia,July,1997,172.0
British Columbia,August,1997,514.0
British Columbia,September,1997,162.0
British Columbia,October,1997,3.0
British Columbia,November,1997,3.0
British Columbia,December,1997,2.0
Manitoba,January,1997,
Manitoba,February,1997,
Manitoba,March,1997,
Manitoba,April,1997,8.0
Manitoba,May,1997,83.0
Manitoba,June,1997,87.0
Manitoba,July,1997,102.0
Manitoba,August,1997,83.0
Manitoba,September,1997,8.0
Manitoba,October,1997,1.0
Manitoba,November,1997,
Manitoba,December,1997,
New Brunswick,March,1997,
New Brunswick,April,1997,16.0
New Brunswick,May,1997,72.0
New Brunswick,June,1997,68.0
New Brunswick,July,1997,77.0
New Brunswick,August,1997,75.0
New Brunswick,September,1997,13.0
New Brunswick,October,1997,45.0
New Brunswick,November,1997,2.0
New Brunswick,December,1997,
Newfoundland and Labrador,January,1997,
Newfoundland and Labrador,March,1997,
Newfoundland and Labrador,April,1997,
Newfoundland and Labrador,May,1997,15.0
Newfoundland and Labrador,June,1997,25.0
Newfoundland and Labrador,July,1997,26.0
Newfoundland and Labrador,August,1997,11.0
Newfoundland and Labrador,September,1997,1.0
Newfoundland and Labrador,October,1997,
Newfoundland and Labrador,November,1997,
Newfoundland and Labrador,December,1997,
Northwest Territories,January,1997,
Northwest Territories,February,1997,
Northwest Territories,April,1997,
Northwest Territories,May,1997,1.0
Northwest Territories,June,1997,17.0
Northwest Territories,July,1997,74.0
Northwest Territories,August,1997,10.0
Northwest Territories,September,1997,3.0
Northwest Territories,October,1997,
Northwest Territories,November,1997,
Northwest Territories,December,1997,
Nova Scotia,January,1997,
Nova Scotia,March,1997,1.0
Nova Scotia,April,1997,44.0
Nova Scotia,May,1997,77.0
Nova Scotia,June,1997,35.0
Nova Scotia,July,1997,108.0
Nova Scotia,August,1997,59.0
Nova Scotia,September,1997,16.0
Nova Scotia,October,1997,30.0
Nova Scotia,November,1997,
Ontario,January,1997,
Ontario,February,1997,
Ontario,March,1997,
Ontario,April,1997,136.0
Ontario,May,1997,180.0
Ontario,June,1997,425.0
Ontario,July,1997,371.0
Ontario,August,1997,423.0
Ontario,September,1997,90.0
Ontario,October,1997,18.0
Ontario,November,1997,1.0
Ontario,December,1997,
Prince Edward Island,January,1997,0.0
Prince Edward Island,February,1997,0.0
Prince Edward Island,March,1997,
Prince Edward Island,April,1997,2.0
Prince Edward Island,May,1997,20.0
Prince Edward Island,June,1997,7.0
Prince Edward Island,July,1997,2.0
Prince Edward Island,August,1997,2.0
Prince Edward Island,September,1997,
Prince Edward Island,October,1997,1.0
Prince Edward Island,November,1997,
Prince Edward Island,December,1997,0.0
Quebec,February,1997,
Quebec,March,1997,
Quebec,April,1997,21.0
Quebec,May,1997,63.0
Quebec,June,1997,436.0
Quebec,July,1997,143.0
Quebec,August,1997,146.0
Quebec,September,1997,22.0
Quebec,October,1997,44.0
Quebec,November,1997,1.0
Quebec,December,1997,
Saskatchewan,January,1997,
Saskatchewan,February,1997,
Saskatchewan,March,1997,
Saskatchewan,April,1997,10.0
Saskatchewan,May,1997,92.0
Saskatchewan,June,1997,52.0
Saskatchewan,July,1997,150.0
Saskatchewan,August,1997,168.0
Saskatchewan,September,1997,15.0
Saskatchewan,October,1997,2.0
Saskatchewan,November,1997,
Saskatchewan,December,1997,
Yukon,January,1997,
Yukon,March,1997,
Yukon,April,1997,
Yukon,May,1997,23.0
Yukon,June,1997,34.0
Yukon,July,1997,37.0
Yukon,August,1997,13.0
Yukon,September,1997,3.0
Yukon,October,1997,2.0
Yukon,November,1997,
Yukon,December,1997,
Alberta,January,1998,
Alberta,February,1998,
Alberta,March,1998,2.0
Alberta,April,1998,152.0
Alberta,May,1998,412.0
Alberta,June,1998,273.0
Alberta,July,1998,196.0
Alberta,August,1998,540.0
Alberta,September,1998,84.0
Alberta,October,1998,60.0
Alberta,November,1998,10.0
Alberta,December,1998,9.0
British Columbia,January,1998,3.0
British Columbia,February,1998,3.0
British Columbia,March,1998,24.0
British Columbia,April,1998,148.0
British Columbia,May,1998,259.0
British Columbia,June,1998,143.0
British Columbia,July,1998,674.0
British Columbia,August,1998,870.0
British Columbia,September,1998,473.0
British Columbia,October,1998,44.0
British Columbia,November,1998,4.0
British Columbia,December,1998,
Manitoba,January,1998,
Manitoba,February,1998,
Manitoba,March,1998,
Manitoba,April,1998,110.0
Manitoba,May,1998,51.0
Manitoba,June,1998,52.0
Manitoba,July,1998,136.0
Manitoba,August,1998,106.0
Manitoba,September,1998,50.0
Manitoba,October,1998,1.0
Manitoba,November,1998,1.0
Manitoba,December,1998,
New Brunswick,March,1998,
New Brunswick,April,1998,67.0
New Brunswick,May,1998,61.0
New Brunswick,June,1998,29.0
New Brunswick,July,1998,44.0
New Brunswick,August,1998,73.0
New Brunswick,September,1998,5.0
New Brunswick,October,1998,7.0
New Brunswick,November,1998,2.0
New Brunswick,December,1998,
Newfoundland and Labrador,January,1998,
Newfoundland and Labrador,March,1998,
Newfoundland and Labrador,April,1998,1.0
Newfoundland and Labrador,May,1998,94.0
Newfoundland and Labrador,June,1998,55.0
Newfoundland and Labrador,July,1998,11.0
Newfoundland and Labrador,August,1998,18.0
Newfoundland and Labrador,September,1998,
Newfoundland and Labrador,October,1998,1.0
Newfoundland and Labrador,November,1998,
Newfoundland and Labrador,December,1998,
Northwest Territories,January,1998,
Northwest Territories,February,1998,
Northwest Territories,April,1998,
Northwest Territories,May,1998,24.0
Northwest Territories,June,1998,76.0
Northwest Territories,July,1998,228.0
Northwest Territories,August,1998,69.0
Northwest Territories,September,1998,2.0
Northwest Territories,October,1998,
Northwest Territories,November,1998,
Northwest Territories,December,1998,
Nova Scotia,January,1998,
Nova Scotia,March,1998,20.0
Nova Scotia,April,1998,86.0
Nova Scotia,May,1998,91.0
Nova Scotia,June,1998,45.0
Nova Scotia,July,1998,19.0
Nova Scotia,August,1998,61.0
Nova Scotia,September,1998,8.0
Nova Scotia,October,1998,16.0
Nova Scotia,November,1998,
Ontario,January,1998,
Ontario,February,1998,
Ontario,March,1998,11.0
Ontario,April,1998,207.0
Ontario,May,1998,463.0
Ontario,June,1998,254.0
Ontario,July,1998,710.0
Ontario,August,1998,477.0
Ontario,September,1998,127.0
Ontario,October,1998,32.0
Ontario,November,1998,8.0
Ontario,December,1998,2.0
Prince Edward Island,January,1998,0.0
Prince Edward Island,February,1998,0.0
Prince Edward Island,March,1998,
Prince Edward Island,April,1998,1.0
Prince Edward Island,May,1998,14.0
Prince Edward Island,June,1998,2.0
Prince Edward Island,July,1998,3.0
Prince Edward Island,August,1998,6.0
Prince Edward Island,September,1998,
Prince Edward Island,October,1998,1.0
Prince Edward Island,November,1998,
Prince Edward Island,December,1998,0.0
Quebec,February,1998,
Quebec,March,1998,
Quebec,April,1998,115.0
Quebec,May,1998,279.0
Quebec,June,1998,112.0
Quebec,July,1998,106.0
Quebec,August,1998,171.0
Quebec,September,1998,34.0
Quebec,October,1998,29.0
Quebec,November,1998,8.0
Quebec,December,1998,
Saskatchewan,January,1998,
Saskatchewan,February,1998,
Saskatchewan,March,1998,
Saskatchewan,April,1998,107.0
Saskatchewan,May,1998,292.0
Saskatchewan,June,1998,216.0
Saskatchewan,July,1998,355.0
Saskatchewan,August,1998,220.0
Saskatchewan,September,1998,71.0
Saskatchewan,October,1998,6.0
Saskatchewan,November,1998,
Saskatchewan,December,1998,1.0
Yukon,January,1998,
Yukon,March,1998,
Yukon,April,1998,2.0
Yukon,May,1998,44.0
Yukon,June,1998,36.0
Yukon,July,1998,73.0
Yukon,August,1998,35.0
Yukon,September,1998,7.0
Yukon,October,1998,
Yukon,November,1998,
Yukon,December,1998,
Alberta,January,1999,4.0
Alberta,February,1999,
Alberta,March,1999,6.0
Alberta,April,1999,133.0
Alberta,May,1999,121.0
Alberta,June,1999,213.0
Alberta,July,1999,280.0
Alberta,August,1999,427.0
Alberta,September,1999,46.0
Alberta,October,1999,84.0
Alberta,November,1999,29.0
Alberta,December,1999,28.0
British Columbia,January,1999,
British Columbia,February,1999,2.0
British Columbia,March,1999,8.0
British Columbia,April,1999,92.0
British Columbia,May,1999,83.0
British Columbia,June,1999,118.0
British Columbia,July,1999,168.0
British Columbia,August,1999,522.0
British Columbia,September,1999,109.0
British Columbia,October,1999,82.0
British Columbia,November,1999,6.0
British Columbia,December,1999,8.0
Manitoba,January,1999,2.0
Manitoba,February,1999,
Manitoba,March,1999,
Manitoba,April,1999,133.0
Manitoba,May,1999,104.0
Manitoba,June,1999,115.0
Manitoba,July,1999,125.0
Manitoba,August,1999,112.0
Manitoba,September,1999,17.0
Manitoba,October,1999,5.0
Manitoba,November,1999,
Manitoba,December,1999,
New Brunswick,March,1999,
New Brunswick,April,1999,55.0
New Brunswick,May,1999,180.0
New Brunswick,June,1999,210.0
New Brunswick,July,1999,80.0
New Brunswick,August,1999,40.0
New Brunswick,September,1999,31.0
New Brunswick,October,1999,3.0
New Brunswick,November,1999,7.0
New Brunswick,December,1999,1.0
Newfoundland and Labrador,January,1999,
Newfoundland and Labrador,March,1999,5.0
Newfoundland and Labrador,April,1999,10.0
Newfoundland and Labrador,May,1999,66.0
Newfoundland and Labrador,June,1999,66.0
Newfoundland and Labrador,July,1999,20.0
Newfoundland and Labrador,August,1999,10.0
Newfoundland and Labrador,September,1999,10.0
Newfoundland and Labrador,October,1999,1.0
Newfoundland and Labrador,November,1999,
Newfoundland and Labrador,December,1999,
Northwest Territories,January,1999,
Northwest Territories,February,1999,
Northwest Territories,April,1999,1.0
Northwest Territories,May,1999,3.0
Northwest Territories,June,1999,70.0
Northwest Territories,July,1999,39.0
Northwest Territories,August,1999,53.0
Northwest Territories,September,1999,6.0
Northwest Territories,October,1999,
Northwest Territories,November,1999,
Northwest Territories,December,1999,
Nova Scotia,January,1999,
Nova Scotia,March,1999,23.0
Nova Scotia,April,1999,78.0
Nova Scotia,May,1999,129.0
Nova Scotia,June,1999,97.0
Nova Scotia,July,1999,89.0
Nova Scotia,August,1999,24.0
Nova Scotia,September,1999,14.0
Nova Scotia,October,1999,3.0
Nova Scotia,November,1999,7.0
Ontario,January,1999,
Ontario,February,1999,1.0
Ontario,March,1999,6.0
Ontario,April,1999,146.0
Ontario,May,1999,234.0
Ontario,June,1999,154.0
Ontario,July,1999,217.0
Ontario,August,1999,196.0
Ontario,September,1999,64.0
Ontario,October,1999,4.0
Ontario,November,1999,3.0
Ontario,December,1999,
Prince Edward Island,January,1999,0.0
Prince Edward Island,February,1999,0.0
Prince Edward Island,March,1999,1.0
Prince Edward Island,April,1999,2.0
Prince Edward Island,May,1999,13.0
Prince Edward Island,June,1999,3.0
Prince Edward Island,July,1999,6.0
Prince Edward Island,August,1999,0.0
Prince Edward Island,September,1999,6.0
Prince Edward Island,October,1999,2.0
Prince Edward Island,November,1999,1.0
Prince Edward Island,December,1999,0.0
Quebec,February,1999,
Quebec,March,1999,
Quebec,April,1999,92.0
Quebec,May,1999,311.0
Quebec,June,1999,197.0
Quebec,July,1999,140.0
Quebec,August,1999,165.0
Quebec,September,1999,120.0
Quebec,October,1999,5.0
Quebec,November,1999,7.0
Quebec,December,1999,
Saskatchewan,January,1999,
Saskatchewan,February,1999,
Saskatchewan,March,1999,1.0
Saskatchewan,April,1999,51.0
Saskatchewan,May,1999,100.0
Saskatchewan,June,1999,158.0
Saskatchewan,July,1999,252.0
Saskatchewan,August,1999,158.0
Saskatchewan,September,1999,6.0
Saskatchewan,October,1999,7.0
Saskatchewan,November,1999,7.0
Saskatchewan,December,1999,
Yukon,January,1999,
Yukon,March,1999,
Yukon,April,1999,2.0
Yukon,May,1999,10.0
Yukon,June,1999,49.0
Yukon,July,1999,36.0
Yukon,August,1999,61.0
Yukon,September,1999,1.0
Yukon,October,1999,
Yukon,November,1999,
Yukon,December,1999,
Alberta,January,2000,9.0
Alberta,February,2000,8.0
Alberta,March,2000,30.0
Alberta,April,2000,139.0
Alberta,May,2000,112.0
Alberta,June,2000,261.0
Alberta,July,2000,197.0
Alberta,August,2000,74.0
Alberta,September,2000,12.0
Alberta,October,2000,16.0
Alberta,November,2000,5.0
Alberta,December,2000,1.0
British Columbia,January,2000,
British Columbia,February,2000,3.0
British Columbia,March,2000,17.0
British Columbia,April,2000,157.0
British Columbia,May,2000,82.0
British Columbia,June,2000,129.0
British Columbia,July,2000,399.0
British Columbia,August,2000,618.0
British Columbia,September,2000,86.0
British Columbia,October,2000,51.0
British Columbia,November,2000,8.0
British Columbia,December,2000,1.0
Manitoba,January,2000,
Manitoba,February,2000,
Manitoba,March,2000,1.0
Manitoba,April,2000,1.0
Manitoba,May,2000,1.0
Manitoba,June,2000,
Manitoba,July,2000,
Manitoba,August,2000,
Manitoba,September,2000,
Manitoba,October,2000,1.0
Manitoba,November,2000,
Manitoba,December,2000,
New Brunswick,March,2000,1.0
New Brunswick,April,2000,31.0
New Brunswick,May,2000,73.0
New Brunswick,June,2000,77.0
New Brunswick,July,2000,40.0
New Brunswick,August,2000,46.0
New Brunswick,September,2000,44.0
New Brunswick,October,2000,30.0
New Brunswick,November,2000,
New Brunswick,December,2000,
Newfoundland and Labrador,January,2000,
Newfoundland and Labrador,March,2000,
Newfoundland and Labrador,April,2000,14.0
Newfoundland and Labrador,May,2000,34.0
Newfoundland and Labrador,June,2000,44.0
Newfoundland and Labrador,July,2000,9.0
Newfoundland and Labrador,August,2000,15.0
Newfoundland and Labrador,September,2000,7.0
Newfoundland and Labrador,October,2000,1.0
Newfoundland and Labrador,November,2000,
Newfoundland and Labrador,December,2000,
Northwest Territories,January,2000,
Northwest Territories,February,2000,
Northwest Territories,April,2000,
Northwest Territories,May,2000,5.0
Northwest Territories,June,2000,90.0
Northwest Territories,July,2000,144.0
Northwest Territories,August,2000,36.0
Northwest Territories,September,2000,
Northwest Territories,October,2000,
Northwest Territories,November,2000,
Northwest Territories,December,2000,
Nova Scotia,January,2000,
Nova Scotia,March,2000,4.0
Nova Scotia,April,2000,19.0
Nova Scotia,May,2000,57.0
Nova Scotia,June,2000,51.0
Nova Scotia,July,2000,25.0
Nova Scotia,August,2000,29.0
Nova Scotia,September,2000,18.0
Nova Scotia,October,2000,8.0
Nova Scotia,November,2000,1.0
Ontario,January,2000,
Ontario,February,2000,1.0
Ontario,March,2000,17.0
Ontario,April,2000,99.0
Ontario,May,2000,88.0
Ontario,June,2000,44.0
Ontario,July,2000,117.0
Ontario,August,2000,156.0
Ontario,September,2000,38.0
Ontario,October,2000,83.0
Ontario,November,2000,7.0
Ontario,December,2000,
Prince Edward Island,January,2000,
Prince Edward Island,February,2000,
Prince Edward Island,March,2000,
Prince Edward Island,April,2000,
Prince Edward Island,May,2000,
Prince Edward Island,June,2000,
Prince Edward Island,July,2000,
Prince Edward Island,August,2000,
Prince Edward Island,September,2000,
Prince Edward Island,October,2000,
Prince Edward Island,November,2000,
Prince Edward Island,December,2000,
Quebec,February,2000,
Quebec,March,2000,1.0
Quebec,April,2000,80.0
Quebec,May,2000,100.0
Quebec,June,2000,74.0
Quebec,July,2000,137.0
Quebec,August,2000,52.0
Quebec,September,2000,44.0
Quebec,October,2000,25.0
Quebec,November,2000,4.0
Quebec,December,2000,
Saskatchewan,January,2000,1.0
Saskatchewan,February,2000,
Saskatchewan,March,2000,4.0
Saskatchewan,April,2000,46.0
Saskatchewan,May,2000,72.0
Saskatchewan,June,2000,137.0
Saskatchewan,July,2000,89.0
Saskatchewan,August,2000,46.0
Saskatchewan,September,2000,15.0
Saskatchewan,October,2000,11.0
Saskatchewan,November,2000,
Saskatchewan,December,2000,
Yukon,January,2000,
Yukon,March,2000,
Yukon,April,2000,
Yukon,May,2000,8.0
Yukon,June,2000,36.0
Yukon,July,2000,3.0
Yukon,August,2000,
Yukon,September,2000,
Yukon,October,2000,
Yukon,November,2000,
Yukon,December,2000,
Alberta,January,2001,4.0
Alberta,February,2001,2.0
Alberta,March,2001,28.0
Alberta,April,2001,79.0
Alberta,May,2001,292.0
Alberta,June,2001,184.0
Alberta,July,2001,201.0
Alberta,August,2001,91.0
Alberta,September,2001,55.0
Alberta,October,2001,56.0
Alberta,November,2001,22.0
Alberta,December,2001,10.0
British Columbia,January,2001,6.0
British Columbia,February,2001,1.0
British Columbia,March,2001,30.0
British Columbia,April,2001,130.0
British Columbia,May,2001,257.0
British Columbia,June,2001,98.0
British Columbia,July,2001,329.0
British Columbia,August,2001,262.0
British Columbia,September,2001,135.0
British Columbia,October,2001,59.0
British Columbia,November,2001,13.0
British Columbia,December,2001,
Manitoba,January,2001,
Manitoba,February,2001,
Manitoba,March,2001,
Manitoba,April,2001,1.0
Manitoba,May,2001,3.0
Manitoba,June,2001,
Manitoba,July,2001,
Manitoba,August,2001,
Manitoba,September,2001,1.0
Manitoba,October,2001,1.0
Manitoba,November,2001,
Manitoba,December,2001,
New Brunswick,March,2001,
New Brunswick,April,2001,36.0
New Brunswick,May,2001,169.0
New Brunswick,June,2001,43.0
New Brunswick,July,2001,47.0
New Brunswick,August,2001,116.0
New Brunswick,September,2001,53.0
New Brunswick,October,2001,29.0
New Brunswick,November,2001,3.0
New Brunswick,December,2001,
Newfoundland and Labrador,January,2001,1.0
Newfoundland and Labrador,March,2001,
Newfoundland and Labrador,April,2001,
Newfoundland and Labrador,May,2001,30.0
Newfoundland and Labrador,June,2001,36.0
Newfoundland and Labrador,July,2001,34.0
Newfoundland and Labrador,August,2001,63.0
Newfoundland and Labrador,September,2001,10.0
Newfoundland and Labrador,October,2001,5.0
Newfoundland and Labrador,November,2001,
Newfoundland and Labrador,December,2001,1.0
Northwest Territories,January,2001,
Northwest Territories,February,2001,
Northwest Territories,April,2001,
Northwest Territories,May,2001,
Northwest Territories,June,2001,49.0
Northwest Territories,July,2001,71.0
Northwest Territories,August,2001,6.0
Northwest Territories,September,2001,2.0
Northwest Territories,October,2001,
Northwest Territories,November,2001,
Northwest Territories,December,2001,
Nova Scotia,January,2001,
Nova Scotia,March,2001,4.0
Nova Scotia,April,2001,36.0
Nova Scotia,May,2001,139.0
Nova Scotia,June,2001,31.0
Nova Scotia,July,2001,67.0
Nova Scotia,August,2001,129.0
Nova Scotia,September,2001,47.0
Nova Scotia,October,2001,28.0
Nova Scotia,November,2001,8.0
Ontario,January,2001,1.0
Ontario,February,2001,
Ontario,March,2001,1.0
Ontario,April,2001,52.0
Ontario,May,2001,115.0
Ontario,June,2001,267.0
Ontario,July,2001,373.0
Ontario,August,2001,666.0
Ontario,September,2001,109.0
Ontario,October,2001,10.0
Ontario,November,2001,2.0
Ontario,December,2001,
Prince Edward Island,January,2001,0.0
Prince Edward Island,February,2001,0.0
Prince Edward Island,March,2001,0.0
Prince Edward Island,April,2001,0.0
Prince Edward Island,May,2001,7.0
Prince Edward Island,June,2001,3.0
Prince Edward Island,July,2001,6.0
Prince Edward Island,August,2001,13.0
Prince Edward Island,September,2001,6.0
Prince Edward Island,October,2001,10.0
Prince Edward Island,November,2001,1.0
Prince Edward Island,December,2001,0.0
Quebec,February,2001,
Quebec,March,2001,
Quebec,April,2001,98.0
Quebec,May,2001,296.0
Quebec,June,2001,127.0
Quebec,July,2001,109.0
Quebec,August,2001,324.0
Quebec,September,2001,41.0
Quebec,October,2001,8.0
Quebec,November,2001,2.0
Quebec,December,2001,
Saskatchewan,January,2001,4.0
Saskatchewan,February,2001,1.0
Saskatchewan,March,2001,3.0
Saskatchewan,April,2001,121.0
Saskatchewan,May,2001,158.0
Saskatchewan,June,2001,200.0
Saskatchewan,July,2001,116.0
Saskatchewan,August,2001,154.0
Saskatchewan,September,2001,74.0
Saskatchewan,October,2001,44.0
Saskatchewan,November,2001,
Saskatchewan,December,2001,
Yukon,January,2001,
Yukon,March,2001,
Yukon,April,2001,1.0
Yukon,May,2001,8.0
Yukon,June,2001,30.0
Yukon,July,2001,20.0
Yukon,August,2001,9.0
Yukon,September,2001,
Yukon,October,2001,
Yukon,November,2001,
Yukon,December,2001,
Alberta,January,2002,10.0
Alberta,February,2002,4.0
Alberta,March,2002,3.0
Alberta,April,2002,35.0
Alberta,May,2002,264.0
Alberta,June,2002,588.0
Alberta,July,2002,358.0
Alberta,August,2002,122.0
Alberta,September,2002,60.0
Alberta,October,2002,22.0
Alberta,November,2002,21.0
Alberta,December,2002,6.0
British Columbia,January,2002,3.0
British Columbia,February,2002,3.0
British Columbia,March,2002,5.0
British Columbia,April,2002,140.0
British Columbia,May,2002,161.0
British Columbia,June,2002,245.0
British Columbia,July,2002,410.0
British Columbia,August,2002,596.0
British Columbia,September,2002,108.0
British Columbia,October,2002,86.0
British Columbia,November,2002,32.0
British Columbia,December,2002,6.0
Manitoba,January,2002,
Manitoba,February,2002,
Manitoba,March,2002,
Manitoba,April,2002,1.0
Manitoba,May,2002,4.0
Manitoba,June,2002,
Manitoba,July,2002,
Manitoba,August,2002,
Manitoba,September,2002,
Manitoba,October,2002,
Manitoba,November,2002,
Manitoba,December,2002,
New Brunswick,March,2002,
New Brunswick,April,2002,31.0
New Brunswick,May,2002,97.0
New Brunswick,June,2002,42.0
New Brunswick,July,2002,37.0
New Brunswick,August,2002,76.0
New Brunswick,September,2002,22.0
New Brunswick,October,2002,10.0
New Brunswick,November,2002,2.0
New Brunswick,December,2002,
Newfoundland and Labrador,January,2002,
Newfoundland and Labrador,March,2002,
Newfoundland and Labrador,April,2002,5.0
Newfoundland and Labrador,May,2002,30.0
Newfoundland and Labrador,June,2002,24.0
Newfoundland and Labrador,July,2002,13.0
Newfoundland and Labrador,August,2002,14.0
Newfoundland and Labrador,September,2002,6.0
Newfoundland and Labrador,October,2002,1.0
Newfoundland and Labrador,November,2002,
Newfoundland and Labrador,December,2002,
Northwest Territories,January,2002,
Northwest Territories,February,2002,
Northwest Territories,April,2002,
Northwest Territories,May,2002,2.0
Northwest Territories,June,2002,38.0
Northwest Territories,July,2002,41.0
Northwest Territories,August,2002,4.0
Northwest Territories,September,2002,
Northwest Territories,October,2002,
Northwest Territories,November,2002,
Northwest Territories,December,2002,
Nova Scotia,January,2002,
Nova Scotia,March,2002,5.0
Nova Scotia,April,2002,23.0
Nova Scotia,May,2002,111.0
Nova Scotia,June,2002,31.0
Nova Scotia,July,2002,26.0
Nova Scotia,August,2002,55.0
Nova Scotia,September,2002,18.0
Nova Scotia,October,2002,
Nova Scotia,November,2002,1.0
Ontario,January,2002,
Ontario,February,2002,
Ontario,March,2002,1.0
Ontario,April,2002,26.0
Ontario,May,2002,105.0
Ontario,June,2002,85.0
Ontario,July,2002,536.0
Ontario,August,2002,212.0
Ontario,September,2002,188.0
Ontario,October,2002,8.0
Ontario,November,2002,1.0
Ontario,December,2002,
Prince Edward Island,January,2002,0.0
Prince Edward Island,February,2002,0.0
Prince Edward Island,March,2002,0.0
Prince Edward Island,April,2002,2.0
Prince Edward Island,May,2002,13.0
Prince Edward Island,June,2002,0.0
Prince Edward Island,July,2002,6.0
Prince Edward Island,August,2002,4.0
Prince Edward Island,September,2002,3.0
Prince Edward Island,October,2002,1.0
Prince Edward Island,November,2002,0.0
Prince Edward Island,December,2002,0.0
Quebec,February,2002,1.0
Quebec,March,2002,1.0
Quebec,April,2002,53.0
Quebec,May,2002,128.0
Quebec,June,2002,84.0
Quebec,July,2002,249.0
Quebec,August,2002,166.0
Quebec,September,2002,205.0
Quebec,October,2002,11.0
Quebec,November,2002,1.0
Quebec,December,2002,
Saskatchewan,January,2002,2.0
Saskatchewan,February,2002,3.0
Saskatchewan,March,2002,3.0
Saskatchewan,April,2002,35.0
Saskatchewan,May,2002,292.0
Saskatchewan,June,2002,345.0
Saskatchewan,July,2002,183.0
Saskatchewan,August,2002,21.0
Saskatchewan,September,2002,5.0
Saskatchewan,October,2002,2.0
Saskatchewan,November,2002,
Saskatchewan,December,2002,
Yukon,January,2002,
Yukon,March,2002,
Yukon,April,2002,
Yukon,May,2002,17.0
Yukon,June,2002,30.0
Yukon,July,2002,19.0
Yukon,August,2002,4.0
Yukon,September,2002,
Yukon,October,2002,
Yukon,November,2002,
Yukon,December,2002,
Alberta,January,2003,14.0
Alberta,February,2003,4.0
Alberta,March,2003,1.0
Alberta,April,2003,34.0
Alberta,May,2003,267.0
Alberta,June,2003,215.0
Alberta,July,2003,328.0
Alberta,August,2003,257.0
Alberta,September,2003,59.0
Alberta,October,2003,57.0
Alberta,November,2003,14.0
Alberta,December,2003,7.0
British Columbia,January,2003,5.0
British Columbia,February,2003,3.0
British Columbia,March,2003,19.0
British Columbia,April,2003,99.0
British Columbia,May,2003,144.0
British Columbia,June,2003,272.0
British Columbia,July,2003,562.0
British Columbia,August,2003,1132.0
British Columbia,September,2003,198.0
British Columbia,October,2003,40.0
British Columbia,November,2003,16.0
British Columbia,December,2003,
Manitoba,January,2003,
Manitoba,February,2003,
Manitoba,March,2003,
Manitoba,April,2003,1.0
Manitoba,May,2003,
Manitoba,June,2003,
Manitoba,July,2003,
Manitoba,August,2003,1.0
Manitoba,September,2003,
Manitoba,October,2003,
Manitoba,November,2003,
Manitoba,December,2003,
New Brunswick,March,2003,
New Brunswick,April,2003,18.0
New Brunswick,May,2003,89.0
New Brunswick,June,2003,38.0
New Brunswick,July,2003,29.0
New Brunswick,August,2003,26.0
New Brunswick,September,2003,27.0
New Brunswick,October,2003,3.0
New Brunswick,November,2003,
New Brunswick,December,2003,
Newfoundland and Labrador,January,2003,
Newfoundland and Labrador,March,2003,
Newfoundland and Labrador,April,2003,2.0
Newfoundland and Labrador,May,2003,32.0
Newfoundland and Labrador,June,2003,45.0
Newfoundland and Labrador,July,2003,6.0
Newfoundland and Labrador,August,2003,16.0
Newfoundland and Labrador,September,2003,21.0
Newfoundland and Labrador,October,2003,3.0
Newfoundland and Labrador,November,2003,1.0
Newfoundland and Labrador,December,2003,
Northwest Territories,January,2003,
Northwest Territories,February,2003,
Northwest Territories,April,2003,
Northwest Territories,May,2003,6.0
Northwest Territories,June,2003,48.0
Northwest Territories,July,2003,86.0
Northwest Territories,August,2003,19.0
Northwest Territories,September,2003,1.0
Northwest Territories,October,2003,
Northwest Territories,November,2003,
Northwest Territories,December,2003,
